TimeStamp,ECG,PPG,
21:36:01,1.0,-16900.0,0.0
21:36:01,5.0,-16917.0,0.0
21:36:01,4.0,-16934.0,0.0
21:36:01,4.0,-16935.0,0.0
21:36:01,11.0,-16939.0,0.0
21:36:01,14.0,-16900.0,0.0
21:36:01,11.0,-16978.0,0.0
21:36:01,13.0,-16968.0,0.0
21:36:01,15.0,-16993.0,0.0
21:36:01,14.0,-16940.0,0.0
21:36:01,16.0,-16898.0,0.0
21:36:01,19.0,-16904.0,0.0
21:36:01,18.0,-16855.0,0.0
21:36:01,18.0,-16864.0,0.0
21:36:01,21.0,-17027.0,0.0
21:36:01,22.0,-16963.0,0.0
21:36:01,23.0,-16953.0,0.0
21:36:01,26.0,-16985.0,0.0
21:36:01,26.0,-16967.0,0.0
21:36:01,28.0,-16969.0,0.0
21:36:01,31.0,-16933.0,0.0
21:36:01,30.0,-16945.0,0.0
21:36:01,31.0,-16997.0,0.0
21:36:01,36.0,-16975.0,0.0
21:36:01,37.0,-17072.0,0.0
21:36:01,32.0,-17164.0,0.0
21:36:01,30.0,-17080.0,0.0
21:36:01,29.0,-17038.0,0.0
21:36:01,26.0,-16907.0,0.0
21:36:01,24.0,-16966.0,0.0
21:36:01,20.0,-16952.0,0.0
21:36:01,13.0,-17023.0,0.0
21:36:01,8.0,-17003.0,0.0
21:36:01,5.0,-16972.0,0.0
21:36:01,0.0,-17031.0,0.0
21:36:01,-2.0,-17037.0,0.0
21:36:01,-2.0,-17055.0,0.0
21:36:01,-4.0,-16997.0,0.0
21:36:01,-4.0,-16982.0,0.0
21:36:01,-3.0,-16982.0,0.0
21:36:01,-5.0,-16920.0,0.0
21:36:01,-5.0,-16915.0,0.0
21:36:01,-3.0,-16904.0,0.0
21:36:01,-4.0,-17047.0,0.0
21:36:02,-4.0,-17129.0,0.0
21:36:02,-2.0,-17051.0,0.0
21:36:02,-3.0,-16976.0,0.0
21:36:02,-4.0,-16979.0,0.0
21:36:02,-2.0,-17040.0,0.0
21:36:02,-3.0,-17032.0,0.0
21:36:02,-5.0,-17134.0,0.0
21:36:02,-1.0,-17024.0,0.0
21:36:02,-4.0,-17029.0,0.0
21:36:02,-13.0,-17062.0,0.0
21:36:02,-10.0,-17020.0,0.0
21:36:02,-1.0,-16929.0,0.0
21:36:02,-1.0,-17029.0,0.0
21:36:02,-4.0,-17064.0,0.0
21:36:02,-2.0,-17085.0,0.0
21:36:02,-4.0,-17072.0,0.0
21:36:02,-6.0,-17074.0,0.0
21:36:02,4.0,-17115.0,0.0
21:36:02,13.0,-17080.0,0.0
21:36:02,10.0,-17224.0,0.0
21:36:02,8.0,-17237.0,0.0
21:36:02,10.0,-17201.0,0.0
21:36:02,6.0,-17204.0,0.0
21:36:02,-2.0,-17152.0,0.0
21:36:02,-3.0,-17153.0,0.0
21:36:02,-1.0,-17184.0,0.0
21:36:02,0.0,-17085.0,0.0
21:36:02,-3.0,-17162.0,0.0
21:36:02,-3.0,-17145.0,0.0
21:36:02,1.0,-17092.0,0.0
21:36:02,2.0,-17175.0,0.0
21:36:02,0.0,-17217.0,0.0
21:36:02,0.0,-17230.0,0.0
21:36:02,-1.0,-17155.0,0.0
21:36:02,-7.0,-17139.0,0.0
21:36:02,-8.0,-17089.0,0.0
21:36:02,0.0,-17109.0,0.0
