I,Q
-0.651409,-0.680373
0.674052,0.753328
-0.678337,0.641596
0.615885,-0.812746
0.646365,0.713373
0.6666,0.755822
-0.724748,0.730343
0.741684,-0.682377
0.748383,0.710587
0.737166,0.716621
0.784562,-0.617709
-0.619216,0.658438
-0.613291,0.729045
-0.753138,-0.785306
-0.708948,-0.781082
-0.706878,-0.726904
-0.648737,0.758563
-0.610497,-0.689703
0.707055,0.714824
0.807197,0.72985
-0.709056,-0.643072
-0.630271,-0.735981
0.63916,0.697796
0.676995,-0.792901
0.733841,0.729041
-0.602282,0.682346
-0.668412,0.600812
0.826007,-0.66556
-0.720891,0.717831
0.716171,-0.70464
0.673664,-0.693318
0.650699,-0.73977
0.708895,-0.67
-0.736066,-0.655069
-0.669782,-0.62667
0.647962,-0.5606
0.629544,-0.66839
0.695386,0.701943
0.717996,-0.699274
-0.689837,-0.7405
0.677342,0.745695
0.667408,-0.81194
-0.730594,-0.656111
0.723611,-0.648641
-0.675718,0.705819
0.71188,-0.686037
-0.656754,-0.686446
0.791682,-0.664654
0.674834,0.688057
0.656855,-0.663699
0.765736,-0.759932
0.685833,-0.685733
0.744936,0.629612
0.660838,0.750897
-0.761737,-0.74958
0.705443,0.653068
-0.779556,-0.719925
-0.648576,0.7105
0.744616,0.637303
-0.661097,0.697064
0.582081,0.793027
0.707438,-0.770824
-0.713742,-0.758771
0.704015,0.596657
0.680679,0.73148
0.711961,-0.70528
0.632971,-0.71538
-0.804189,0.626869
-0.7063,0.745583
-0.698563,0.634626
0.754658,-0.733296
-0.676569,0.709372
-0.753293,-0.632562
-0.766951,0.670523
0.649751,0.69647
0.645687,-0.677855
-0.59761,0.684189
-0.720028,0.595381
-0.658449,-0.630828
0.678294,-0.77928
0.728486,-0.681097
-0.713847,0.763218
0.767128,-0.555155
0.778862,0.710173
0.737384,-0.726107
0.750869,0.669831
0.755997,0.742939
-0.656754,0.660435
0.623701,0.681453
-0.65071,0.704471
0.784845,-0.674385
-0.65536,0.668369
0.718832,-0.689264
-0.696935,-0.706325
0.641615,-0.766137
-0.707294,-0.660265
-0.614315,-0.722435
0.695336,-0.741099
-0.653488,-0.64513
0.63248,-0.699338
-0.71446,0.662779
-0.760469,0.798004
0.686726,0.763101
0.604915,-0.627827
-0.744438,0.707976
0.680921,-0.739572
0.671602,0.702477
-0.772365,-0.565377
-0.647636,0.72744
0.65555,0.68769
-0.698388,-0.746834
-0.760482,-0.686104
-0.525333,-0.739214
-0.786258,0.679638
0.616286,-0.709616
0.693415,-0.645449
0.713073,-0.629045
0.815134,-0.728358
-0.661763,0.728776
-0.74689,-0.654913
-0.744847,0.757543
0.688164,-0.766135
0.754422,0.754136
-0.719216,-0.725169
0.692589,-0.677269
-0.644024,-0.621266
0.716651,-0.740496
-0.699743,0.66811
-0.714972,-0.764732
-0.704713,-0.669686
-0.67506,-0.743844
0.663533,0.661778
0.674674,-0.624611
-0.640875,0.683489
0.766075,0.71931
0.63349,0.739256
-0.663043,-0.696465
0.719914,0.654116
-0.704663,-0.698624
0.767722,0.661281
-0.673266,-0.739322
-0.67853,-0.744046
-0.731981,0.779644
-0.831462,0.75679
0.722516,-0.6498
-0.732403,-0.708189
-0.676872,0.691656
0.687486,0.676834
0.66158,-0.747679
-0.745291,-0.841615
0.797869,0.625161
-0.649318,-0.757059
-0.667473,0.807948
0.774168,-0.761907
0.671534,0.654936
-0.653912,-0.706917
-0.767147,-0.695598
-0.689675,-0.773243
0.70308,0.711684
-0.735587,0.703132
-0.688021,0.589815
0.633682,-0.719454
-0.832323,-0.779801
-0.674365,-0.789374
0.639786,-0.630381
-0.748304,-0.596972
0.699169,0.721392
-0.659187,-0.790996
-0.750012,-0.616733
-0.814736,-0.786917
-0.697479,0.665087
0.714741,-0.737389
0.63577,-0.743559
-0.797187,-0.669718
-0.66467,-0.788194
0.692835,0.744239
0.632504,0.737065
-0.731905,0.651661
0.674135,0.707092
-0.742979,-0.694472
0.70869,-0.709774
-0.685303,0.687704
0.694427,0.650207
0.75128,-0.662177
0.710984,0.726504
-0.652493,0.753029
-0.66773,0.777779
-0.712617,0.755265
0.767803,0.716101
0.634053,0.811669
-0.710908,0.799099
0.724929,-0.59708
-0.707314,0.783028
0.67855,-0.664239
-0.719609,0.644222
0.787801,0.80578
-0.671288,0.718653
-0.691627,0.8632
0.805564,-0.683074
-0.649117,0.694747
0.691036,0.670759
-0.768977,0.767048
0.620128,0.864519
-0.644592,0.725019
0.710002,-0.813855
-0.724609,-0.643314
-0.578755,-0.730046
0.681362,0.697495
0.640647,0.686928
-0.656631,0.739922
-0.678996,0.771541
0.793725,-0.809862
0.737875,-0.663252
0.676777,0.696476
-0.749961,-0.690466
-0.633884,-0.683426
0.851947,0.736429
0.610381,0.706439
-0.712809,-0.700492
-0.718415,0.732318
0.783142,-0.691131
0.651392,0.731012
-0.736136,0.590421
0.764437,0.70919
-0.665768,0.826787
-0.697529,0.67333
0.687711,0.676848
0.736914,0.757594
0.56488,-0.704191
0.618665,-0.607141
0.709575,0.692141
0.786032,-0.751714
0.677421,-0.660014
-0.737249,0.750801
0.761585,-0.789294
-0.703845,-0.704009
0.700402,-0.773024
-0.694256,0.709493
0.685672,-0.656549
0.674273,0.736699
-0.691137,0.68368
-0.697612,-0.7401
0.692166,0.57968
0.741978,-0.652795
-0.796889,0.661454
0.72231,0.663218
-0.667474,0.706791
0.686007,0.696261
0.791415,-0.679276
-0.683789,-0.713092
-0.748058,-0.647472
0.844243,0.676584
0.652153,-0.782435
0.831775,-0.663282
0.715161,0.780146
0.675853,-0.71658
-0.721518,0.644972
0.719588,-0.671781
0.714821,-0.682484
-0.735074,-0.708352
-0.734568,0.683452
0.818437,0.728627
0.655415,0.688329
0.588254,-0.696917
-0.692806,-0.670385
0.740246,0.769676
-0.706711,0.710887
-0.733574,-0.758384
-0.780281,-0.685373
-0.6977,0.722901
-0.709843,-0.745736
-0.717887,0.699548
0.794002,0.694374
0.792673,-0.719683
-0.728517,0.721536
-0.709844,0.708581
0.739117,0.7822
-0.6133,0.636579
0.801258,-0.665966
-0.634115,0.780882
0.720459,0.698373
0.679135,-0.761515
0.808367,-0.660834
0.772168,-0.762271
0.736926,-0.734496
-0.776331,-0.759298
0.730081,-0.676442
0.799773,-0.71881
0.784357,-0.715061
0.72687,0.780151
-0.665472,0.830072
-0.812912,-0.643431
0.669717,0.778358
-0.71513,-0.703523
-0.644382,0.709993
0.640655,0.745159
0.735455,0.705444
-0.672254,-0.726938
-0.624203,0.707747
-0.627482,-0.670712
0.720731,-0.748569
-0.747895,0.728249
0.696633,-0.721982
-0.75769,-0.704828
0.656245,-0.702608
